Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-itsc,branch-le1y,branch-369y,branch-xcm8,randomiser-jf65,branch-asih,quota-t18w,branch-fqz7,branch-ho4r,quota-qptq,branch-rpm3,quota-xbdv,quota-qd5n,quota-bgsj,quota-xwhm,quota-3pu1,quota-rltk,quota-h2u6,quota-a1h7,quota-8mkn,quota-63lu,branch-crxk,branch-elfm,branch-mikh,branch-nctw,branch-zc37,branch-4mwx,branch-j73a,branch-fkxh,branch-lji3,quota-hzw3,branch-mmja,counterbalance-m678,checkpoint-gr3y,checkpoint-3jg6,randomiser-2tba,counterbalance-93ib,counterbalance-9xcr,counterbalance-wbyz,counterbalance-vply,counterbalance-hleo,checkpoint-abe5,branch-e22y,branch-9yk5,branch-v8wy,counterbalance-ulkf,branch-t3qc,counterbalance-mcio,branch-gm4e,counterbalance-3v2j,counterbalance-t9rn,counterbalance-bi4u,counterbalance-8ump,branch-h1nb,branch-5t3u,randomiser-kh5p,counterbalance-dozd,counterbalance-wch9,branch-9rgz,counterbalance-sg3w,branch-kzla,counterbalance-o3nf,counterbalance-eu1d,counterbalance-8zsd,branch-kht5,counterbalance-u2fx,counterbalance-e4l7,counterbalance-7mrq,counterbalance-s1b5,counterbalance-2v12,counterbalance-g69h,branch-ufjm,branch-qt1t,branch-1cbs,branch-2s1m,order-j7mk,branch-qjxq,checkpoint-27dz,sex,sex-text,sex-quantised,age,age-text,age-quantised,race,race-text,race-quantised,eng_native,eng_native-text,eng_native-quantised,psych,psych-text,psych-quantised,END QUESTIONNAIRE
1,1571929767997,24/10/2019 15:09:27,1571929768675,-4,24/10/2019 11:09:28,10365,2,questionnaire-rok5,,3240744,A6YDORFZZXXPQ,899107,,complete,kdcddq,,computer,Desktop or Laptop,Windows 10,Firefox 69.0,1280x720,1280x584,approve with $2.15 bonus,Demographics,3,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,ACCEPT,,,,,,,,≥38,≤42,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 8 and 10,,,,,,,,,,,,order8,,order10,,,Continue,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,Male,,2,39,,23,Asian,,2,Yes,,1,No,,2,16972
1,1571929788407,24/10/2019 15:09:48,1571929790048,-4,24/10/2019 11:09:50,10365,2,questionnaire-rok5,,3240754,A17OSPGV41FZ7P,899111,,complete,hmnbnu,,computer,Desktop or Laptop,Windows 10,Firefox 70.0,1600x900,1600x764,approve with $2.15 bonus,Demographics,3,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,ACCEPT,,,,,,,,,≤37,,,,,,,,,,,,,,Orders 2 and 4,order4,,,,,,,,,,Continue,,Continue,order4,,,,,,,,,,,,,,,,,,,,,,,,,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,Female,,1,33,,17,White - not of Hispanic Origin,,6,Yes,,1,No,,2,12087
1,1571929878075,24/10/2019 15:11:18,1571929872992,-4,24/10/2019 11:11:12,10365,2,questionnaire-rok5,,3240801,AC0B0RHJICXU1,899127,,complete,stgnfs,,computer,Desktop or Laptop,Windows 7,Firefox 69.0,1920x1080,1474x897,approve with $2.15 bonus,Demographics,3,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≤32,ACCEPT,,,,,,,,,,,,,,,,,,,,,,,,Orders 11 and 12,,,,,order12,,,Continue,,,Continue,,,,,order12,,,,,,,,,,,,,,,,,,,,,,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,Male,,2,30,,14,White - not of Hispanic Origin,,6,Yes,,1,No,,2,12199
1,1571929894374,24/10/2019 15:11:34,1571929888914,-4,24/10/2019 11:11:28,10365,2,questionnaire-rok5,,3240813,A2NAKIXS3DVGAA,899130,,complete,gxpwzf,,computer,Desktop or Laptop,Linux x86_64,Firefox 60.0,1600x900,1055x767,approve with $2.15 bonus,Demographics,3,words,English_Native,No_Psych,,l_pos,18+,,≥23,≤27,ACCEPT,,,,,,,,,,,,,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 11 and 12,,,,,,,,,,,order11,,,,order11,,,Continue,Continue,DECFBA,Images loaded ok,approve with $2.15 bonus,Male,,2,25,,9,White - not of Hispanic Origin,,6,Yes,,1,No,,2,7398
1,1571929925371,24/10/2019 15:12:05,1571929924913,-7,24/10/2019 08:12:04,10365,2,questionnaire-rok5,,3240830,ABX5OQLR6UNBC,899136,,complete,ojqkxh,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1600x900,1584x748,approve with $2.15 bonus,Demographics,3,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 7 and 9,,,,,,,,,,order7,,,order9,,,Continue,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,Female,,1,46,,30,White - not of Hispanic Origin,,6,Yes,,1,No,,2,17241
1,1571930000193,24/10/2019 15:13:20,1571929998667,-4,24/10/2019 11:13:18,10365,2,questionnaire-rok5,,3240865,AKMIORNF40ST7,899145,,complete,ayakyi,,computer,Desktop or Laptop,Windows 10,Firefox 69.0,1536x864,1536x750,approve with $2.15 bonus,Demographics,3,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 5 and 6,,,,,,,order5,order6,Continue,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,Male,,2,44,,28,White - not of Hispanic Origin,,6,Yes,,1,No,,2,24365
1,1571930007098,24/10/2019 15:13:27,1571930006521,-5,24/10/2019 10:13:26,10365,2,questionnaire-rok5,,3240874,A1DXSFFL5HZ1NX,899146,,complete,szofyn,,computer,Desktop or Laptop,Chromium OS 12371.75.0,Chrome 77.0.3865.105,1366x768,1366x641,approve with $2.15 bonus,Demographics,3,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,,,,,Orders 5 and 6,,order5,,,,,,,,,Continue,,,,order5,,,Continue,,,,,,,,,,,,,,,,,,,,,Continue,EFDACB,Images loaded ok,approve with $2.15 bonus,Male,,2,43,,27,White - not of Hispanic Origin,,6,Yes,,1,No,,2,14910
1,1571930016460,24/10/2019 15:13:36,1571930018280,-7,24/10/2019 08:13:38,10365,2,questionnaire-rok5,,3240878,A11ST9LLMHHIF9,899148,,complete,zywnen,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1366x768,1366x663,approve with $2.15 bonus,Demographics,3,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,,ACCEPT,,≥38,≥43,≥48,≥53,≥58,≥63,≥68,≤72,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 2 and 4,,order2,,,Continue,order2,,,,,,,,,,,,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,Female,,1,68,,52,White - not of Hispanic Origin,,6,Yes,,1,No,,2,22386
1,1571930029853,24/10/2019 15:13:49,1571930030646,-7,24/10/2019 08:13:50,10365,2,questionnaire-rok5,,3240885,1t2je5zr,899149,,complete,ketezg,,computer,Desktop or Laptop,Windows 7,Firefox 69.0,1024x768,1024x608,approve with $2.15 bonus,Demographics,3,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,,,,,Orders 7 and 9,,,order7,,,,,,,,Continue,order9,,,,,,,Continue,,,,,,,,,,,,,,,,,,,,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,Male,,2,44,,28,White - not of Hispanic Origin,,6,Yes,,1,No,,2,13212
1,1571930166398,24/10/2019 15:16:06,1571930165533,-4,24/10/2019 11:16:05,10365,2,questionnaire-rok5,,3240930,A1XOG82RCTNFL7,899156,,complete,rinsqc,,computer,Desktop or Laptop,Windows 10,Firefox 70.0,1536x864,1536x750,approve with $2.15 bonus,Demographics,3,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≤32,ACCEPT,,,,,,,,,,,,,,,,,,,,,,,,Orders 5 and 6,,order6,,,,,,,,,Continue,,,,order6,,,Continue,,,,,,,,,,,,,,,,,,,,,Continue,DECFBA,Images loaded ok,approve with $2.15 bonus,Male,,2,29,,13,White - not of Hispanic Origin,,6,Yes,,1,No,,2,11122
1,1571930175324,24/10/2019 15:16:15,1571930174726,-5,24/10/2019 10:16:14,10365,2,questionnaire-rok5,,3240935,A2PXNSTBTS22EY,899158,,complete,rcogdz,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 77.0.3865.120,1440x900,500x766,approve with $2.15 bonus,Demographics,3,words,English_Native,No_Psych,,l_pos,18+,ACCEPT,≤22,,,,,,,,,,,,,,,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 1 and 3,order3,,Continue,order1,,,,,,,,,,,,,,,Continue,EFDACB,Images loaded ok,approve with $2.15 bonus,Male,,2,22,,6,Other (please specify),Caribbean,,Yes,,1,No,,2,12144
1,1571930293600,24/10/2019 15:18:13,1571930292131,2,24/10/2019 17:18:12,10365,2,questionnaire-rok5,,3240973,A33DSCVAUOWIQY,899165,,complete,camvij,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 77.0.3865.120,1280x800,1280x634,approve with $2.15 bonus,Demographics,3,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≤32,ACCEPT,,,,,,,,,,,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 7 and 9,,,,,,,,,,order9,,,order7,,,Continue,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,Female,,1,30,,14,White - not of Hispanic Origin,,6,Yes,,1,No,,2,13146
1,1571930295350,24/10/2019 15:18:15,1571930292643,-4,24/10/2019 11:18:12,10365,2,questionnaire-rok5,,3240977,4wgdru3k,899166,,complete,ewzsxj,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1920x1080,946x927,approve with $2.15 bonus,Demographics,3,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,,,ACCEPT,,,,,≥38,≥43,≥48,≥53,≤57,,,,,,,,,,Orders 11 and 12,,,,,order11,,,Continue,,,Continue,,,,,order11,,,,,,,,,,,,,,,,,,,,,,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,Male,,2,53,,37,White - not of Hispanic Origin,,6,Yes,,1,No,,2,11656
1,1571930376510,24/10/2019 15:19:36,1571930376279,-5,24/10/2019 10:19:36,10365,2,questionnaire-rok5,,3241010,A39TKU289CXWRN,899174,,complete,byviyf,,computer,Desktop or Laptop,Mac OS 10.15.0,Chrome 77.0.3865.120,1440x900,1440x717,approve with $2.15 bonus,Demographics,3,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,ACCEPT,,,,,,≥38,≥43,≥48,≤52,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 11 and 12,,,,,,,,,,,order12,,,,order12,,,Continue,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,Female,,1,48,,32,White - not of Hispanic Origin,,6,Yes,,1,No,,2,13875
1,1571930496151,24/10/2019 15:21:36,1571930512178,-4,24/10/2019 11:21:52,10365,2,questionnaire-rok5,,3241065,ARI1EMAHUA9PO,899187,,complete,axdmex,,computer,Desktop or Laptop,Windows 8.1,Chrome 77.0.3865.120,1920x1080,1920x937,approve with $2.15 bonus,Demographics,3,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,ACCEPT,,,,,,,,≥38,≤42,,,,,,,,,,order1,,,Orders 1 and 3,,,,,,,Continue,,,order1,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,Male,,2,42,,26,White - not of Hispanic Origin,,6,Yes,,1,No,,2,8791
1,1571930510988,24/10/2019 15:21:50,1571930509306,-6,24/10/2019 09:21:49,10365,2,questionnaire-rok5,,3241071,AL7L4BS9AW3TI,899185,,complete,mjhceo,,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.120,1280x1024,1280x881,approve with $2.15 bonus,Demographics,3,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,ACCEPT,,,,,,≥38,≥43,≥48,≤52,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 2 and 4,,order4,,,Continue,order4,,,,,,,,,,,,,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,Female,,1,52,,36,White - not of Hispanic Origin,,6,Yes,,1,No,,2,16442
1,1571930579235,24/10/2019 15:22:59,1571930581510,-7,24/10/2019 08:23:01,10365,2,questionnaire-rok5,,3241103,AJ86CAZX0QCE9,899195,,complete,szhruo,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.70,1536x864,1536x722,approve with $2.15 bonus,Demographics,3,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,ACCEPT,,,,,,,,≥38,≤42,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 8 and 10,,,,,,,,,,,,order10,,order8,,,Continue,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,Female,,1,42,,26,Black - not of Hispanic Origin,,3,Yes,,1,No,,2,15061
1,1571930586444,24/10/2019 15:23:06,1571926884145,-4,24/10/2019 10:21:24,10365,2,questionnaire-rok5,,3241104,A1U3I75OPL8UZA,899196,,complete,mmpqjj,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.70,1920x1080,1920x937,approve with $2.15 bonus,Demographics,3,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,ACCEPT,,,,,,≥38,≥43,≥48,≤52,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 5 and 6,,,,,,,order6,order5,Continue,,,,,,,,,,Continue,DECFBA,Images loaded ok,approve with $2.15 bonus,Male,,2,50,,34,White - not of Hispanic Origin,,6,Yes,,1,No,,2,18987
